ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2467,1.6714,10.1724,-0.4427,1.0614,9.739,-0.2288,0.0081,-0.1639,-49.39,8.12,6.8,81.99,-6.8,2.72,5.0,39.501,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,9,2021-01-13 15:12:20:532
-0.0862,1.9181,10.2586,-0.3986,1.0476,9.7424,-0.0308,0.0045,-0.1158,-50.09,6.64,6.97,83.12,-6.13,2.34,5.0,39.501,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,109,2021-01-13 15:12:20:632
-0.8359,1.9756,8.0479,-0.523,1.2727,9.7096,0.2105,0.1967,-0.217,-50.05,7.45,7.87,83.6,-7.46,3.08,5.0,39.02,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,209,2021-01-13 15:12:20:732
-1.0993,2.1887,8.7784,-0.7074,1.6229,9.6455,0.1057,0.082,0.0226,-51.92,6.6,6.01,83.94,-8.78,3.88,5.0,39.02,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,309,2021-01-13 15:12:20:832
-1.0083,0.9457,10.7975,-0.8003,1.4113,9.6715,-0.4466,0.2031,0.1805,-50.79,9.3,4.35,81.3,-8.27,4.73,5.0,39.02,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,409,2021-01-13 15:12:20:932
-0.1581,-0.0051,10.7592,-0.7926,1.2258,9.6974,-0.1604,-0.3572,0.2309,-50.28,11.21,6.04,78.93,-7.18,4.67,5.0,41.295,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,510,2021-01-13 15:12:21:033
-1.0083,0.6703,10.843,-0.2093,0.8766,9.7652,-0.3298,-0.5516,0.153,-51.27,13.91,6.17,75.61,-6.28,2.77,5.0,41.295,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,609,2021-01-13 15:12:21:132
-0.6155,-0.1249,11.4226,-0.1873,0.9065,9.7629,0.1195,-0.125,0.1665,-48.21,16.98,6.97,71.3,-5.3,1.1,5.0,41.295,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,709,2021-01-13 15:12:21:232
-0.661,1.4127,6.4648,-0.1488,1.2685,9.7231,0.4952,0.0363,0.1337,-47.51,16.62,5.74,71.55,-7.43,0.88,5.0,40.14,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,809,2021-01-13 15:12:21:332
-0.6874,2.6127,5.3104,-0.3993,2.1577,9.558,0.4884,0.2896,0.3807,-46.32,20.14,2.63,67.65,-10.57,1.61,5.0,40.14,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,909,2021-01-13 15:12:21:432
-0.5078,1.487,10.0622,-0.4978,2.0473,9.5776,-0.3925,0.1915,0.1316,-45.27,21.31,2.27,66.35,-12.05,2.98,5.0,40.14,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1009,2021-01-13 15:12:21:532
-0.582,0.8068,12.2298,-0.3042,1.4193,9.6986,-0.515,-0.4956,-0.4881,-45.5,20.47,2.33,66.75,-8.32,1.8,5.0,40.14,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1109,2021-01-13 15:12:21:632
0.3305,-2.2781,12.9483,0.0423,0.6688,9.7837,-0.6488,-0.3457,-0.5387,-44.16,18.08,3.09,68.3,-6.26,0.92,5.0,43.383,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1209,2021-01-13 15:12:21:732
0.4359,0.1793,9.8011,0.1286,0.348,9.7996,0.5281,0.126,0.0988,-42.99,18.67,3.38,66.29,-2.03,-0.75,5.0,43.383,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1309,2021-01-13 15:12:21:832
-0.6371,0.8499,8.2851,0.0787,1.1171,9.7425,0.6594,-0.0327,-0.0038,-41.51,18.02,0.72,67.03,-6.54,-0.46,5.0,43.383,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1409,2021-01-13 15:12:21:932
0.0168,1.3577,6.084,-0.2502,1.5693,9.677,0.4271,0.2163,0.0485,-40.46,15.26,-1.08,69.52,-7.7,0.63,5.0,40.997,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1509,2021-01-13 15:12:22:032
-0.2946,2.1384,8.4503,-0.2885,1.6524,9.6621,-0.0419,0.1386,0.2438,-40.24,15.97,-0.05,68.72,-9.7,1.71,5.0,40.997,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1609,2021-01-13 15:12:22:132
-0.5317,1.0008,10.4119,-0.4072,1.2374,9.7197,-0.3997,-0.047,0.2667,-38.2,15.94,-2.59,67.15,-7.25,2.4,5.0,40.997,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1710,2021-01-13 15:12:22:233
-0.4694,-1.0326,14.2536,0.012,0.3992,9.7985,-0.8538,-0.4184,0.1868,-38.57,16.48,-2.11,67.73,-5.66,1.9,5.0,41.316,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1809,2021-01-13 15:12:22:332
-0.3377,-0.3405,10.8981,0.2321,0.3186,9.7987,0.4203,-0.032,0.3914,-37.2,17.99,-1.51,63.92,-1.86,-1.36,5.0,41.316,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1908,2021-01-13 15:12:22:431
